reciter_id	name_en	name_ar	country	slug	riwayah	style	recording_context	recording_year	source	channel	audio_category	chapter_count	codec	container	sample_rate_hz	channels	bitrate_mode	bitrate_kbps_nominal	total_duration_sec	state
saeed_ramadan	Saeed Ramadan	سيد رمضان		saeed_ramadan_tvquran	hafs_an_asim	murattal			tvquran	tvquran	by_surah	114	mp3	mp3	22050	2	cbr	64	90448	
sahl_yassin	Sahl Yassin	سهل ياسين		sahl_yassin_archive	hafs_an_asim	murattal			surah-quran	archive_org	by_surah	114	mp3	mp3	44100	1	cbr	64	87068	
sahl_yassin	Sahl Yassin	سهل ياسين		sahl_yassin_everyayah_byayah	hafs_an_asim	murattal			everyayah	everyayah	by_ayah	6236	mp3	mp3			unknown		87932	
sahl_yassin	Sahl Yassin	سهل ياسين		sahl_yassin_mp3quran	hafs_an_asim	murattal			mp3quran	mp3quran	by_surah	114	mp3	mp3	44100	2	mixed		87996	
sahl_yassin	Sahl Yassin	سهل ياسين		sahl_yassin_qdc	hafs_an_asim	murattal			quranicaudio	quranicaudio	by_surah	114	mp3	mp3	44100	2	mixed		87634	
sahl_yassin	Sahl Yassin	سهل ياسين		sahl_yassin_tvquran	hafs_an_asim	murattal			tvquran	tvquran	by_surah	114	mp3	mp3	22050	2	cbr	64	87301	
said_alkady	Said Alkady	سعيد القاضي		said_alkady_tvquran	hafs_an_asim	murattal			tvquran	tvquran	by_surah	87	mp3	mp3	44100	2	cbr	192	57071	
salah_al_baji	Salah Al-Baji	صلاح الباجي		salah_al_baji_archive	hafs_an_asim	murattal			surah-quran	archive_org	by_surah	34	mp3	mp3	44100	2	mixed		9140	
salah_al_budair	Salah Al-Budair	صلاح البدير	Saudi Arabia	salah_al_budair_everyayah_byayah	hafs_an_asim	murattal			everyayah	everyayah	by_ayah	6236	mp3	mp3			unknown		77759	
salah_al_budair	Salah Al-Budair	صلاح البدير	Saudi Arabia	salah_al_budair_mp3quran	hafs_an_asim	murattal			mp3quran	mp3quran	by_surah	114	mp3	mp3	48000	2	cbr	320	77834	
salah_al_budair	Salah Al-Budair	صلاح البدير	Saudi Arabia	salah_al_budair_qdc	hafs_an_asim	murattal			quranicaudio	quranicaudio	by_surah	114	mp3	mp3	44100	2	mixed		75522	
salah_al_budair	Salah Al-Budair	صلاح البدير	Saudi Arabia	salah_al_budair_tvquran	hafs_an_asim	murattal			tvquran	tvquran	by_surah	114	mp3	mp3	22050	2	cbr	64	75582	
salah_alhashim	Salah Al-Hashim	صلاح الهاشم		salah_alhashim_mp3quran	hafs_an_asim	murattal			mp3quran	mp3quran	by_surah	114	mp3	mp3	44100	2	mixed		96290	
salah_alhashim	Salah Al-Hashim	صلاح الهاشم		salah_alhashim_qalon_mp3quran	qalon_an_nafi	murattal			mp3quran	mp3quran	by_surah	7	mp3	mp3	44100	2	cbr	128	5358	
salah_alhashim	Salah Al-Hashim	صلاح الهاشم		salah_alhashim_qalon_tvquran	qalon_an_nafi	murattal			tvquran	tvquran	by_surah	7	mp3	mp3	44100	2	cbr	128	5351	
salah_alhashim	Salah Al-Hashim	صلاح الهاشم		salah_alhashim_qdc	hafs_an_asim	murattal			quranicaudio	quranicaudio	by_surah	112	mp3	mp3	44100	2	mixed		94365	
salah_alhashim	Salah Al-Hashim	صلاح الهاشم		salah_alhashim_tvquran	hafs_an_asim	murattal			tvquran	tvquran	by_surah	114	mp3	mp3	22050	2	mixed		96557	
salah_aljamal	Salah Al-Jamal	صلاح الجمل	Egypt	salah_aljamal_archive	hafs_an_asim	murattal			surah-quran	archive_org	by_surah	114	mp3	mp3	48000	2	vbr	128	84181	
salah_baothman	Salah Ba Othman	صلاح باعثمان	Saudi Arabia	salah_baothman_archive	hafs_an_asim	murattal			surah-quran	archive_org	by_surah	114	mp3	mp3			unknown		81615	
salah_bukhatir	Salah Bukhatir	صلاح بوخاطر	UAE	salah_bukhatir_everyayah_byayah	hafs_an_asim	murattal			everyayah	everyayah	by_ayah	6236	mp3	mp3			unknown		85047	
salah_bukhatir	Salah Bukhatir	صلاح بوخاطر	UAE	salah_bukhatir_mp3quran	hafs_an_asim	murattal			mp3quran	mp3quran	by_surah	114	mp3	mp3	44100	2	cbr	128	85098	
